CD_GEOCODM,NOME,POPULACAO
1100015,Alta Floresta D'Oeste,22945
1100023,Ariquemes,107863
1100031,Cabixi,5312
1100049,Cacoal,85359
1100056,Cerejeiras,16323
1100064,Colorado do Oeste,15882
1100072,Corumbiara,7391
1100080,Costa Marques,18331
1100098,Espigão D'Oeste,32374
1100106,Guajará-Mirim,46174
1100114,Jaru,51775
1100122,Ji-Paraná,128969
1100130,Machadinho D'Oeste,39991
1100148,Nova Brasilândia D'Oeste,20474
1100155,Ouro Preto do Oeste,36035
1100189,Pimenta Bueno,36660
1100205,Porto Velho,529544
1100254,Presidente Médici,18986
1100262,Rio Crespo,3764
1100288,Rolim de Moura,55058
1100296,Santa Luzia D'Oeste,6495
1100304,Vilhena,99854
1100320,São Miguel do Guaporé,23005
1100338,Nova Mamoré,30583
1100346,Alvorada D'Oeste,14411
1100379,Alto Alegre dos Parecis,13241
1100403,Alto Paraíso,21428
1100452,Buritis,39654
1100502,Novo Horizonte do Oeste,8538
1100601,Cacaulândia,6230
1100700,Campo Novo de Rondônia,14139
1100809,Candeias do Jamari,26693
1100908,Castanheiras,3052
1100924,Chupinguaia,11182
1100940,Cujubim,25215
1101005,Governador Jorge Teixeira,7767
1101104,Itapuã do Oeste,10458
1101203,Ministro Andreazza,9660
1101302,Mirante da Serra,10947
1101401,Monte Negro,15852
1101435,Nova União,6970
1101450,Parecis,6074
1101468,Pimenteiras do Oeste,2169
1101476,Primavera de Rondônia,2856
1101484,São Felipe D'Oeste,5172
1101492,São Francisco do Guaporé,20266
1101500,Seringueiras,11856
1101559,Teixeirópolis,4308
1101609,Theobroma,10444
1101708,Urupá,11467
1101757,Vale do Anari,11204
1101807,Vale do Paraíso,6825
1200013,Acrelândia,15256
1200054,Assis Brasil,7417
1200104,Brasiléia,26278
1200138,Bujari,10266
1200179,Capixaba,11733
1200203,Cruzeiro do Sul,88376
1200252,Epitaciolândia,18411
1200302,Feijó,34780
1200328,Jordão,8317
1200336,Mâncio Lima,18977
1200344,Manoel Urbano,9459
1200351,Marechal Thaumaturgo,18867
1200385,Plácido de Castro,19761
1200393,Porto Walter,11982
1200401,Rio Branco,407319
1200427,Rodrigues Alves,18930
1200435,Santa Rosa do Purus,6540
1200450,Senador Guiomard,23024
1200500,Sena Madureira,45848
1200609,Tarauacá,42567
1200708,Xapuri,19323
1200807,Porto Acre,18504
1300029,Alvarães,16041
1300060,Amaturá,11536
1300086,Anamã,13614
1300102,Anori,21010
